Benchmark,Status,Basic DPLL(hh:mm:ss),DPLL with Conflict learning(hh:mm:ss),DPLL with Watch_Var(hh:mm:ss),DPLL with Watch_Var & Conflict learning(hh:mm:ss)
flat30-1.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
flat30-2.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
flat30-3.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
uf100-01.cnf,SAT,0:00.06,0:00.05,0:00.04,0:00.04
uf100-02.cnf,SAT,0:00.37,0:00.31,0:00.28,0:00.43
uf100-03.cnf,SAT,0:00.02,0:00.02,0:00.02,0:00.02
uf125-01.cnf,SAT,0:00.51,0:00.33,0:00.39,0:00.22
uf125-02.cnf,SAT,0:00.26,0:00.23,0:00.21,0:00.19
uf125-03.cnf,SAT,0:00.01,0:00.00,0:00.01,0:00.00
uf150-01.cnf,SAT,0:05.09,0:01.45,0:03.85,0:01.04
uf150-02.cnf,SAT,0:05.22,0:01.12,0:03.90,0:01.11
uf150-03.cnf,SAT,2:08.64,0:22.79,1:37.32,0:15.31
uf175-01.cnf,SAT,0:51.16,0:12.25,0:38.89,0:08.78
uf175-02.cnf,SAT,0:13.22,0:01.83,0:09.98,0:01.20
uf175-03.cnf,SAT,0:01.30,0:00.99,0:00.98,0:00.83
uf200-01.cnf,SAT,3:37.74,0:34.69,2:45.59,0:16.81
uf200-02.cnf,SAT,0:00.06,0:00.07,0:00.05,0:00.05
uf200-03.cnf,SAT,2:07.95,0:46.25,1:36.85,0:29.29
uf20-01.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
uf20-02.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
uf20-03.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
uf225-01.cnf,SAT,9:31.50,0:17.25,7:13.21,0:11.47
uf225-02.cnf,SAT,0:01.10,0:01.31,0:00.80,0:00.82
uf225-03.cnf,SAT,17:45.99,0:28.21,13:20.50,0:20.74
uf250-01.cnf,SAT,39:15.23,1:00.59,29:19.93,0:45.65
uf250-02.cnf,SAT,0:05.15,0:01.29,0:03.87,0:00.90
uf250-03.cnf,UNSAT,0:00.00,0:00.00,0:00.00,0:00.00
uf50-01.cnf,SAT,0:00.01,0:00.01,0:00.01,0:00.01
uf50-02.cnf,SAT,0:00.01,0:00.01,0:00.00,0:00.00
uf50-03.cnf,SAT,0:00.01,0:00.01,0:00.01,0:00.01
uf75-01.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
uf75-02.cnf,SAT,0:00.00,0:00.00,0:00.00,0:00.00
uf75-03.cnf,SAT,0:00.06,0:00.06,0:00.05,0:00.05
uuf100-01.cnf,UNSAT,0:01.00,0:00.35,0:00.74,0:00.38
uuf100-02.cnf,UNSAT,0:00.87,0:00.90,0:00.67,0:00.57
uuf100-03.cnf,UNSAT,0:01.20,0:00.68,0:00.91,0:00.62
uuf125-01.cnf,UNSAT,0:02.95,0:01.66,0:02.26,0:01.28
uuf125-02.cnf,UNSAT,0:28.24,0:02.01,0:21.44,0:03.84
uuf125-03.cnf,UNSAT,0:02.88,0:02.12,0:02.18,0:01.50
uuf150-01.cnf,UNSAT,0:41.98,0:12.00,0:31.63,0:11.38
uuf150-02.cnf,UNSAT,0:24.40,0:12.32,0:18.16,0:11.15
uuf150-03.cnf,UNSAT,0:44.32,0:13.44,0:33.46,0:10.04
uuf175-01.cnf,UNSAT,1:47.73,0:30.82,1:21.67,0:30.21
uuf175-02.cnf,UNSAT,9:14.06,1:47.31,6:54.38,0:06.06
uuf175-03.cnf,UNSAT,5:06.07,0:31.00,3:50.85,0:27.28
uuf200-01.cnf,UNSAT,14:51.05,2:33.64,11:18.31,2:19.83
uuf200-02.cnf,UNSAT,1:01:51,2:55.04,47:12.55,2:38.02
uuf200-03.cnf,UNSAT,33:58.57,0:23.99,25:25.05,1:34.82
uuf225-01.cnf,UNSAT,2:02:30,12:05.14,1:32:09,10:03.69
uuf225-02.cnf,UNSAT,51:32.89,6:24.40,38:58.57,5:54.19
uuf225-03.cnf,UNSAT,34:53.50,6:41.24,26:24.82,5:28.99
